time;program;event;period;
21568.226936;burner;branches;1174995;
21568.227016;swapper;task-clock;1000000;
21568.227258;burner;instructions;4934176;
21568.227501;acpid;cpu-migrations;1;
21568.22776;burner;task-clock;1000000;
21568.227847;burner;task-clock;1000000;
21568.227919;burner;branches;1186291;
21568.227978;burner;branches;1184104;
21568.227987;burner;instructions;4963975;
21568.228015;swapper;task-clock;1000000;
21568.228256;burner;instructions;4964349;
21568.22876;burner;task-clock;1000000;
21568.228846;burner;task-clock;1000000;
21568.228881;burner;branches;1188790;
21568.228938;burner;branches;1175643;
21568.228961;burner;instructions;4916725;
21568.229229;burner;instructions;4966034;
21568.229759;burner;task-clock;1000000;
21568.229846;burner;task-clock;1000000;
21568.229865;burner;branches;1194705;
21568.229913;burner;branches;1181668;
21568.23076;burner;task-clock;1000000;
21568.230827;burner;branches;1197081;
21568.230846;burner;task-clock;1000000;
21568.230867;burner;branches;1185490;
21568.231759;burner;task-clock;1000000;
21568.231819;burner;branches;1205282;
21568.231836;burner;branches;1192890;
21568.231846;burner;task-clock;1000000;
21568.232759;burner;task-clock;1000000;
21568.232793;burner;branches;1206520;
21568.2328;burner;branches;1197641;
21568.232846;burner;task-clock;1000000;
21568.233759;burner;task-clock;1000000;
21568.233846;burner;task-clock;1000000;
21568.23476;burner;task-clock;1000000;
21568.234846;burner;task-clock;1000000;
21568.235396;rcu_sched;cpu-migrations;1;
21568.23576;burner;task-clock;1000000;
21568.235846;burner;task-clock;1000000;
21568.23676;burner;task-clock;1000000;
21568.236847;burner;task-clock;1000000;
21568.236934;gdbus;task-clock;1000000;
21568.237473;swapper;instructions;2691262;
21568.237541;burner;cycles;2960413;
21568.237759;burner;task-clock;1000000;
21568.237846;burner;task-clock;1000000;
21568.238205;burner;cycles;2965490;
21568.238533;burner;cycles;2960413;
21568.23876;burner;task-clock;1000000;
21568.238834;Xorg;instructions;2681098;
21568.238846;burner;task-clock;1000000;
21568.239198;burner;cycles;2965490;
21568.23938;burner;context-switches;13;
21568.239526;burner;cycles;2963802;
21568.23976;burner;task-clock;1000000;
21568.239846;burner;task-clock;1000000;
21568.239932;swapper;task-clock;1000000;
21568.240171;Xorg;cpu-migrations;1;
21568.240193;burner;cycles;2967253;
21568.240518;burner;cycles;2966116;
21568.240759;burner;task-clock;1000000;
21568.240846;burner;task-clock;1000000;
21568.240933;swapper;task-clock;1000000;
21568.241186;burner;cycles;2968938;
21568.24153;burner;cycles;2968979;
21568.241759;burner;task-clock;1000000;
21568.241845;burner;task-clock;1000000;
21568.241933;swapper;task-clock;1000000;
21568.241939;burner;instructions;4933213;
21568.242198;burner;cycles;2971592;
21568.24222;burner;instructions;4983296;
21568.242525;burner;cycles;2964784;
21568.242759;burner;task-clock;1000000;
21568.242845;burner;task-clock;1000000;
21568.242903;burner;instructions;4933213;
21568.242933;swapper;task-clock;1000000;
21568.243194;burner;cycles;2967163;
21568.243195;burner;instructions;4983296;
21568.24352;burner;cycles;2966823;
21568.243759;burner;task-clock;1000000;
21568.243845;burner;task-clock;1000000;
21568.243877;burner;instructions;4954175;
21568.243933;swapper;task-clock;1000000;
21568.244179;burner;instructions;5005225;
21568.24419;burner;cycles;2968856;
21568.244515;burner;cycles;2968485;
21568.244759;burner;task-clock;1000000;
21568.244845;burner;instructions;4970909;
21568.244845;burner;task-clock;1000000;
21568.244933;swapper;task-clock;1000000;
21568.245158;burner;instructions;5015014;
21568.245185;burner;cycles;2970210;
21568.245526;burner;cycles;2970637;
21568.245759;burner;task-clock;1000000;
21568.245783;burner;branches;1203226;
21568.245788;burner;branches;1210492;
21568.245837;burner;instructions;4991220;
21568.245845;burner;task-clock;1000000;
21568.245932;swapper;task-clock;1000000;
21568.246159;burner;instructions;5028724;
21568.246197;burner;cycles;2972273;
21568.246524;burner;cycles;2966258;
21568.246758;burner;branches;1203226;
21568.246761;burner;task-clock;1000000;
21568.246772;burner;branches;1210492;
21568.246818;burner;instructions;4996207;
21568.246845;burner;task-clock;1000000;
21568.246932;swapper;task-clock;1000000;
21568.247014;swapper;task-clock;1000000;
21568.247058;gdbus;cpu-migrations;1;
21568.24715;burner;instructions;5027946;
21568.247195;burner;cycles;2967873;
21568.247523;burner;cycles;2967474;
21568.247749;burner;branches;1209361;
21568.247759;burner;task-clock;1000000;
21568.247783;burner;branches;1213901;
21568.247813;burner;instructions;5015643;
21568.247845;burner;task-clock;1000000;
21568.247932;swapper;task-clock;1000000;
21568.248165;burner;instructions;5037350;
21568.248197;burner;cycles;2968530;
21568.248368;gdbus;cpu-migrations;2;
21568.248521;burner;cycles;2967554;
21568.248735;burner;branches;1210805;
21568.248759;burner;task-clock;1000000;
21568.248772;burner;branches;1212221;
21568.248802;burner;instructions;5018644;
21568.248845;burner;task-clock;1000000;
21568.248933;swapper;task-clock;1000000;
21568.249159;burner;instructions;5028394;
21568.249195;burner;cycles;2968032;
21568.249538;burner;cycles;2968458;
21568.24974;burner;branches;1212967;
21568.249759;burner;task-clock;1000000;
21568.24978;burner;branches;1213908;
21568.249809;burner;instructions;5025966;
21568.249845;burner;task-clock;1000000;
21568.249933;swapper;task-clock;1000000;
21568.250168;burner;instructions;5032115;
21568.250209;burner;cycles;2968872;
21568.250535;burner;cycles;2962082;
21568.250568;gmain;cpu-migrations;1;
21568.250724;burner;branches;1212105;
21568.250759;burner;task-clock;1000000;
21568.250765;burner;branches;1212571;
21568.250795;burner;instructions;5021198;
21568.250845;burner;task-clock;1000000;
21568.250933;swapper;task-clock;1000000;
21568.251155;burner;instructions;5026328;
